"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"WE ATE DINNER IN THE SKY","Lexi Hensler","Film and Animation",2022-06-28 16:32:51,666526,32606,0,2091,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","3"
2022-07-01,"Hermitcraft 9: 17 - Minecraft's most OVERPOWERED Farm!","iskall85","Gaming",2022-06-28 17:00:17,475398,31173,0,1516,FALSE,FALSE,FALSE,17,"3pm to 12am","Tuesday","3"
2022-07-01,"I Survived On $0.01 For 30 Days - Day 28","Ryan Trahan","Entertainment",2022-06-28 14:00:15,5207083,283610,0,19270,FALSE,FALSE,FALSE,14,"8am to 3pm","Tuesday","3"
2022-07-01,"jxdn - Even in the Dark (Lyric Video)","jxdn","Music",2022-06-28 13:00:07,135963,20746,0,903,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","3"
2022-07-01,"I PUT DEVO ON A BLIND DATE WITH ALABAMA *stuff got wild*","Brooklyn Frost","People and Blogs",2022-06-27 21:00:29,228730,13236,0,1397,FALSE,FALSE,FALSE,21,"3pm to 12am","Monday","3"
2022-07-01,"Golden Buzzer: Mayyas' Breathtaking Audition Captivates Sofia Vergara | AGT 2022","America's Got Talent","Entertainment",2022-06-22 02:00:04,10828819,280729,0,13603,FALSE,FALSE,FALSE,2,"12am to 8am","Wednesday","8+"
2022-07-01,"Paulo Londra - Nublado (Official Teaser)","Paulo Londra","Music",2022-06-28 15:00:10,2407426,167252,0,3947,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","3"
2022-07-01,"I Survived Off ONE Taki For 30 Days (Ryan Trahan Parody)","TheCrazyGorilla","Entertainment",2022-06-27 22:03:50,507267,12542,0,1285,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","3"
2022-07-01,"COMPTON Trash Talkers Threw Hands!!! 5v5 Park Basketball","nick briz","Sports",2022-06-28 00:15:01,321719,9999,0,1887,FALSE,FALSE,FALSE,0,"12am to 8am","Tuesday","3"
2022-07-01,"I Became a Real Estate Agent","Cody Ko","People and Blogs",2022-06-27 16:58:38,840058,55948,0,2463,FALSE,FALSE,FALSE,16,"3pm to 12am","Monday","4"
2022-07-01,"Sha'Carri Richardson fails to qualify for World Championships, rips media | T&F | SPEAK FOR YOURSELF","Speak For Yourself","Sports",2022-06-27 22:07:05,323697,5487,0,2152,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","3"
